"Covid-19"	"SD"	"HS"	"AD"	"EP"	"PD"	"IS"	"Imm"
"ENSG00000240291"	"SAMD12"						
"WWC2"	"MICAL2"						
"TSR3"	"ITLN1"						
"HBB"	"MYL6B"						
"SNAI2"	"BBOF1"						
"SSTR2"	"KIR2DS5"						
"NUDT7"	"ASPRV1"						
"PFDN4"	"IL15RA"						
"SYNGR1"	"MBNL3"						
"FBXO17"	"CSF1R"						
"PELI3"	"CD274"						
"COLCA1"	"EIF2D"						
"BEX4"	"CSRNP1"						
"NR0B2"	"DNTTIP2"						
"TES"	"KLF1"						
"SNRPD1"	"MYH9"						
"SLC35C1"	"IL1B"						
"ENSG00000258578"	"CWC15"						
"ENSG00000279786"	"CFP"						
"SUPV3L1"	"ITPRIP"						
"ZNF250"	"GPA33"						
"CD1D"	"SNORA21"						
"ZBTB4"	"TENT5C"						
"ADGRA3"	"GSTM2"						
"SLED1"	"EPB42"						
"FAM53B"	"DHRS3"						
"SPRED1"	"LOC389831"						
"IGSF9B"	"HPSE"						
"HMG20B"	"DHRS13"						
"SPATA41"	"NUCB1"						
"WTIP"	"LOC105377782"						
"SETP6"	"DYSF"						
"KYAT1"	"PFDN4"						
"HNRNPA1"	"PDZD11"						
"KLF2"	"NDUFA1"						
"PNPO"	"FAM214B"						
"OLFML2A"	"HMGN3"						
"GPLD1"	"FIS1"						
"RN7SKP90"	"FCMR"						
"CHDH"	"GTF2H2B"						
"TUT7"	"ZNF600"						
"KDELR2"	"HSPE1"						
"DMRTA1"	"ZNF57"						
"MRPL37"	"ABHD14B"						
"AVPR1A"	"BPI"						
"SLC30A7"	"OXTR"						
"JUN"	"HBG2"						
"LRATD1"	"EEF1B2"						
"SLC38A9"	"CTNNAL1"						
"TSPOAP1"	"YBX3"						
"TTC38"	"MED22"						
"ENSG00000272140"	"DGAT2"						
"KIAA1143"	"CLEC4D"						
"ABCA5"	"LOC101928893"						
"VWA3A"	"GMPR"						
"DLC1"	"PCSK1N"						
"EIPR1-IT1"	"SHCBP1"						
"ENSG00000231181"	"BABAM1"						
"RPL21P5"	"HLX"						
"CLU"	"BLVRB"						
"ENSG00000248794"	"STX11"						
"PWWP2B"	"LRG1"						
"ABCA1"	"OSBP2"						
"PPT1"	"TATDN1"						
"FGF10"	"LSM8"						
"NIPSNAP1"	"OPTN"						
"SPAG5-AS1"	"ABHD15"						
"ENSG00000260064"	"PCTP"						
"PTMS"	"SLC4A1"						
"RNF165"	"SELENOM"						
"LINC00907"	"PHOSPHO1"						
"STEEP1"	"H2BC5"						
"GAS6"	"PDCD4-AS1"						
"ENSG00000280321"	"NFU1"						
"GIMAP7"	"SMIM30"						
"RPL23AP7"	"FOXO4"						
"RPL32P32"	"AK6"						
"NIM1K"	"ADGRE3"						
"MRRF"	"SLPI"						
"HNRNPA1P10"	"WLS"						
"TYRO3"	"CETN3"						
"UBL5"	"NME4"						
"RNU4ATAC18P"	"BATF2"						
"FGD5"	"C2orf74"						
"HLA-DRA"	"LINC01527"						
"PUS3"	"ODC1"						
"SP6"	"PIP4K2A"						
"TRMT112"	"HAT1"						
"BMP6"	"UBE2L6"						
"BCO2"	"RGL4"						
"ZNF821"	"KLRG1"						
"DHODH"	"PCED1B"						
"KIAA1328"	"TMEM91"						
"YIPF1"	"FAM118A"						
"CA1"	"PTAFR"						
"C12orf57"	"XK"						
"TRIM58"	"LINC02481"						
"OLAH"	"E2F2"						
"MAPK8IP2"	"B3GNT8"						
"ENSG00000279196"	"PRXL2B"						
"WT1"	"PLEK2"						
"CBX7"	"RELB"						
"ZBTB22"	"EIF1AY"						
"DENND6B"	"MAP3K7CL"						
"PDZD2"	"NFKB1"						
"ENSG00000259682"	"CLEC12B"						
"ANKRD49P2"	"FHIT"						
"ARPC5"	"ADGRG3"						
"ACAA2"	"AHSP"						
"ENSG00000232545"	"FHL2"						
"LBH"	"FAM104A"						
"ENSG00000227615"	"CXCL16"						
"ZNF574"	"RHBDF2"						
"CCDC71"	"TNFAIP6"						
"ZNF784"	"LHFPL2"						
"B9D2"	"PSMA4"						
"TMEM11-DT"	"SCN1B"						
"PNMA1"	"PLVAP"						
"ALDH4A1"	"DPM2"						
"LINC00607"	"ERV3-1"						
"ZNF563"	"TSPAN5"						
"SNRPD3"	"SNRPD1"						
"ALYREF"	"OTUD6B-AS1"						
"IGHA2"	"TPRKB"						
"ZNF431"	"GYPB"						
"CENPB"	"MAD2L1BP"						
"PRKCH-AS1"	"LOC105375492"						
"SOD1-DT"	"SARNP"						
"TRIR"	"TNFSF13"						
"PLCXD2"	"RWDD3"						
"ENSG00000259453"	"ARMCX2"						
"COX10"	"SELENBP1"						
"AR"	"RPL26L1"						
"NPTN-IT1"	"LRRC4"						
"PPIF"	"CA4"						
"ENSG00000261578"	"RPL22L1"						
"C8orf76"	"TMA7"						
"SH3BP5"	"USP16"						
"NUDT14"	"CASC3"						
"CYB561"	"CMC1"						
"MYL3"	"UQCRH"						
"HMGN2P5"	"P2RX7"						
"DAPK2"	"CTSB"						
"H2AC21"	"CEACAM1"						
"CD69"	"GBP5"						
"LPGAT1"	"SECTM1"						
"VMP1"	"ABCC13"						
"MPRIP"	"P2RY14"						
"ABCB6"	"MARCHF8"						
"ADAM20P1"	"NINJ2"						
"RNU6-1045P"	"MRC2"						
"BANF1"	"WARS1"						
"CEBPD"	"OASL"						
"ERBB2"	"NAPSB"						
"GLIPR2"	"FBXO6"						
"CLMN"	"FAM106A"						
"RPS14"	"RAB2B"						
"CMYA5"	"KIR3DL2"						
"RAB3B"	"SLC7A5"						
"NCR3LG1"	"RBM38"						
"PITRM1"	"CEACAM21"						
"GGH"	"LCN2"						
"VDAC1"	"FAM210B"						
"GSDMC"	"COX16"						
"COL21A1"	"SLC22A18"						
"ENSG00000283828"	"SNRPG"						
"AGRN"	"MKRN1"						
"RILPL1"	"BSG"						
"IP6K3"	"LTF"						
"CCDC124"	"COX6C"						
"SHROOM1"	"RWDD1"						
"HCG11"	"CTSL"						
"RPSAP6"	"PI3"						
"DYRK1B"	"GLRX5"						
"ACTG1P17"	"PF4"						
"ENSG00000281195"	"EMC2"						
"LINC01355"	"MAL"						
"POLDIP2"	"MX1"						
"HKDC1"	"RSL24D1"						
"DNAL4"	"BTNL3"						
"SS18"	"LAMP3"						
"FLRT3"	"EPHX2"						
"RN7SL141P"	"RPIA"						
"TCF21"	"CEACAM8"						
"CLBA1"	"SDCBPP2"						
"LRPAP1"	"FECH"						
"UFD1"	"RPS7"						
"ENSG00000253180"	"TUBB1"						
"CASZ1"	"LY6E"						
"ENSG00000258215"	"MRPS28"						
"SLAIN1"	"BCL2A1"						
"ABRAXAS1"	"DPPA3"						
"ZBTB46"	"NDUFB3"						
"HSBP1L1"	"SNCA"						
"F10"	"METTL18"						
"WDFY3-AS2"	"BPGM"						
"PKHD1"	"FAM3B"						
"SENP3"	"OLFM4"						
"SURF2"	"SLC1A5"						
"DENND5B"	"RPL34"						
"CPVL"	"KDM7A-DT"						
"SMAD1"	"C9orf78"						
"ZBTB8A"	"HAUS1"						
"ENSG00000236194"	"HEMGN"						
"ADCY1"	"KANSL1-AS1"						
"H1-3"	"CHMP5"						
"FSTL4"	"EPSTI1"						
"SPATA17"	"SLIRP"						
"RPS3AP38"	"FCGR1B"						
"PPP1R3E"	"IFI35"						
"HSD3B7"	"RSAD2"						
"PLIN5"	"FRG1JP"						
"SPAG5"	"IFIT3"						
"MMADHCP2"	"CAMP"						
"HSD17B7P2"	"MRPL1"						
"SCML1"							
"MFSD9"							
"RSPH4A"							
"SOX13"							
"GPR137B"							
"GTF2F1"							
"MT-ND1"							
"DSTNP2"							
"BORCS6"							
"ENSG00000286994"							
"LIMD1"							
"UHRF1BP1L"							
"CDS1"							
"ENSG00000256433"							
"SRGAP2C"							
"LINC02018"							
"ENSG00000270558"							
"PSMD6"							
"POGLUT1"							
"LTBR"							
"KLHL2P1"							
"GRPEL1"							
"DIPK1B"							
"SMG1P6"							
"ARPIN"							
"RPS26P18"							
"ENSG00000260920"							
"GAS8"							
"MTND5P11"							
"ENSG00000254694"							
"MRPS31"							
"DCAF13P3"							
"ENSG00000257169"							
"IL1RL2"							
"ENSG00000276334"							
"NADK2"							
"TM9SF1"							
"DHDH"							
"ENSG00000218175"							
"MCTS1"							
"CLDN23"							
"ENSG00000277558"							
"SPIRE2"							
"TAMALIN"							
"STRADB"							
"EYS"							
"CES2"							
"SNORA73B"							
"FGF14"							
"ENSG00000284946"							
"ALG3"							
"ZNF611"							
"ATP5MF"							
"ANKRD22"							
"ARFGEF3"							
"NLN"							
"CADM4"							
"SYNC"							
"RBM33-DT"							
"GPR180"							
"IGSF22"							
"KYNU"							
"NEGR1"							
"GNAO1"							
"ERI3-IT1"							
"ALAS1"							
"ERLIN1"							
"JDP2"							
"HRG-AS1"							
"AKR1C1"							
"CFAP54"							
"PPP1R26"							
"EPCAM"							
"IQCA1"							
"SEC23A"							
"IQCE"							
"PGAM1"							
"NR4A1"							
"ENSG00000253586"							
"CFAP53"							
"TP53INP1"							
"RPL36AP43"							
"H3-3B"							
"NNT"							
"MCM2"							
"FAHD2A"							
"RHOBTB1"							
"POLR1G"							
"MYRIP"							
"ELL2"							
"ENSG00000255031"							
"GBE1"							
"AIFM1"							
"HPS6"							
"DDX55P1"							
"DENND10"							
"KCTD9P4"							
"SLC27A2"							
"DDRGK1"							
"CBR4"							
"PHYKPL"							
"ENSG00000287771"							
"SCD5"							
"ADIPOR2"							
"EPHB4"							
"PDCD5"							
"FRRS1"							
"HOXB6"							
"ENSG00000279133"							
"DUS4L"							
"TCAIM"							
"CEMIP"							
"BTBD9"							
"ENSG00000288025"							
"ACBD7"							
"GCNT3"							
"ENSG00000271811"							
"CHIT1"							
"MTATP6P1"							
"PRKAG2"							
"TBC1D8"							
"NPHP1"							
"ELP2"							
"PYGL"							
"RASIP1"							
"HMGCL"							
"C20orf27"							
"ENSG00000232710"							
"TMEM69"							
"ENSG00000230001"							
"CRIM1"							
"LINC00513"							
"ASAH2B"							
"SEC24B"							
"PDE5A"							
"CSRNP1"							
"CRYL1"							
"AKT3-IT1"							
"PPIAP31"							
"AMOTL1"							
"PLPP5"							
"WLS"							
"ENSG00000280190"							
"GEN1"							
"ZNF501"							
"PRDM16"							
"RBKS"							
"PCBD1"							
"CCDC40"							
"JUNB"							
"TIMP1"							
"PAF1"							
"STUB1"							
"JPH1"							
"SCAI"							
"ZSWIM5"							
"XYLB"							
"PXMP2"							
"NANOGP4"							
"LENG1"							
"CCDC191"							
"ENSG00000254859"							
"MT-ATP6"							
"R3HCC1"							
"SLC4A8"							
"ENTPD7"							
"EPHB6"							
"PRKAR1B"							
"MITD1"							
"RDH5"							
"DUSP10"							
"ANGPTL4"							
"ZNF71"							
"CYP4V2"							
"SH3GLB2"							
"DYNLT2"							
"MTRF1"							
"TMEM97"							
"CDIN1"							
"ENSG00000287299"							
"PPARGC1A"							
"OGFOD3"							
"HIF1A"							
"PPIAP72"							
"TRIM65"							
"RAMP2"							
"ENSG00000265943"							
"GCAT"							
"OXSM"							
"ENSG00000260337"							
"FAM167A"							
"CAPN10-DT"							
"ERO1A"							
"CRACR2B"							
"ATR"							
"MOCS1"							
"IQUB"							
"ZNF281"							
"NIBAN2"							
"ATP1B1P1"							
"ACAT1"							
"RBM42"							
"TMEM43"							
"LINC01003"							
"CDC16"							
"LPIN1"							
"RABEPK"							
"SAR1B"							
"DEPDC1P2"							
"SHC3"							
"MYO9A"							
"SLC66A3"							
"EFHC2"							
"JAG2"							
"MIR593"							
"ENSG00000233785"							
"HLA-E"							
"EEF1A1"							
"PXK"							
"SLC2A12"							
"JCHAIN"							
"NRBF2"							
"AGAP9"							
"WHAMMP2"							
"SRF"							
"ATG2B"							
"MACO1"							
"LDHA"							
"SORL1"							
"AMPH"							
"MVB12B"							
"NCOA2"							
"ZNF425"							
"UGDH"							
"ENSG00000238035"							
"ENSG00000286508"							
"KL"							
"CAPN2"							
"GPI"							
"CCDC14"							
"LTA4H"							
"AP4M1"							
"C4BPA"							
"FNDC3A"							
"ELMO3"							
"ADD2"							
"ENSG00000276672"							
"RN7SKP203"							
"CDKN2AIPNL"							
"NNMT"							
"TMEM92-AS1"							
"HCAR2"							
"ENSG00000273295"							
"ZNF366"							
"HSD17B12"							
"LINC01229"							
"GLUD2"							
"TRPT1"							
"COL4A5"							
"LNCSRLR"							
"CLTB"							
"BMP1"							
"ENSG00000238231"							
"CPNE8"							
"NGLY1"							
"ENSG00000243302"							
"ENSG00000279598"							
"LINC00640"							
"TSPAN13"							
"SLC26A6"							
"USF3"							
"ENSG00000270277"							
"SPEF2"							
"TINAGL1"							
"ENSG00000266378"							
"ATG4A"							
"KCTD6"							
"PAQR8"							
"ENSG00000228886"							
"HMGN2"							
"NPR1"							
"PHYH"							
"ENSG00000274364"							
"GFM2"							
"ISYNA1"							
"NAP1L5"							
"TMEM107"							
"SLC2A4"							
"EEF1A1P8"							
"TMBIM6"							
"CCDC97"							
"SIGLEC10"							
"H1-4"							
"NDN"							
"TPM3"							
"BTC"							
"SLCO5A1"							
"ENSG00000275632"							
"EEF1AKMT4"							
"SCLY"							
"EPPK1"							
"ATRNL1"							
"PPP1R12C"							
"LINC01176"							
"ENSG00000254536"							
"BMP2"							
"DDAH2"							
"CCDC34"							
"ANKZF1"							
"SLC15A4"							
"CMTM4"							
"ENSG00000258559"							
"FGF1"							
"CKMT2"							
"RN7SL566P"							
"SLC47A1"							
"MBD4"							
"ENSG00000288542"							
"SUSD3"							
"ENSG00000288559"							
"PPP1R9B"							
"TUSC3"							
"PKN1"							
"MYH11"							
"ENPEP"							
"BRCC3P1"							
"RANBP1"							
"C1orf21"							
"TTLL7-IT1"							
"LIN7B"							
"GDPD1"							
"UNC119"							
"MAPK8IP1"							
"PACSIN3"							
"IGFBP6"							
"RFFL"							
"ENSG00000287978"							
"NDUFV2P1"							
"MT-ND5"							
"PGM5"							
"ENSG00000279637"							
"ZNF714"							
"LINC00957"							
"TSPAN9-IT1"							
"MRPL35"							
"HMGB2"							
"APLP2"							
"DPYSL2"							
"MTFR1"							
"BDH1"							
"TMEM232"							
"ICAM4"							
"SNORA33"							
"TTLL7"							
"ZNF713"							
"RCAN3"							
"GNG7"							
"DRAP1"							
"CDC37"							
"C9orf43"							
"MED9"							
"MIR4668"							
"MT1X"							
"HEBP2"							
"RPL17P50"							
"VMO1"							
"SLC25A30"							
"CALM3"							
"ENSG00000254826"							
"ENSG00000264112"							
"ZFP28"							
"HSP90AA1"							
"DLG5"							
"ZNF43"							
"S100A14"							
"EGFL8"							
"AGFG2"							
"MYO1E"							
"ENSG00000261770"							
"SLC39A4"							
"ENSG00000287787"							
"GABARAP"							
"IGLV1-40"							
"WDFY1"							
"SLC20A1"							
"NPY1R"							
"PCID2"							
"HYAL2"							
"CFAP119"							
"TMEM204"							
"GDF7"							
"SPAAR"							
"ENSG00000259810"							
"SERTAD3"							
"RN7SL1"							
"RABEP2"							
"ZNF414"							
"PCDHB10"							
"ACP2"							
"SNRNP48"							
"RPL7AP6"							
"TOM1L1"							
"ZCCHC9"							
"NAMPTP1"							
"PANK3"							
"XPOT"							
"SPEN-AS1"							
"TSNAXIP1"							
"LINC02943"							
"PRKAR2B"							
"ENSG00000263731"							
"TLCD4"							
"TBX18"							
"PLAC8"							
"ST8SIA6"							
"VEPH1"							
"MRPS6"							
"TFDP2"							
"RNU6-807P"							
"UBOX5"							
"RFTN2"							
"TMLHE"							
"SLC9A3R1"							
"WTAP"							
"ENSG00000267504"							
"ERRFI1"							
"PUS10"							
"MPZ"							
"HSD11B1L"							
"DIPK2B"							
"ZNF423"							
"PAQR5"							
"RGN"							
"CPNE7"							
"SERTAD1"							
"KRTCAP2"							
"CERS2"							
"RASGRP3"							
"PEMT"							
"LAMB2"							
"PREX2"							
"PAFAH1B3"							
"SLC44A2"							
"WWTR1-IT1"							
"UBE2FP1"							
"KCTD12"							
"CDKN2B"							
"ENSG00000260948"							
"MIR27B"							
"SLC31A1"							
"SLC1A2"							
"NAGS"							
"NMT2"							
"IRF2BP1"							
"AK3"							
"CADM1"							
"CCDC51"							
"CLEC14A"							
"HSPD1P11"							
"TFB1M"							
"MFAP4"							
"NPIPA1"							
"RERG"							
"DPT"							
"IL1RL1"							
"ENSG00000255142"							
"H1-5"							
"ADSS1"							
"FBXO43"							
"FLYWCH2"							
"FST"							
"THRA"							
"CDHR3"							
"ENSG00000254484"							
"TMSB10"							
"FKBPL"							
"HLA-DRB5"							
"A1BG"							
"ADCY10"							
"METAP1D"							
"CEP126"							
"KLHL25"							
"RTN4RL2"							
"CPD"							
"ENSG00000254330"							
"MIX23"							
"SEMA6A"							
"PCBP2-OT1"							
"PDGFA"							
"GTF2IP23"							
"MAMDC2"							
"PTPRB"							
"NPM1P27"							
"SHPK"							
"ENSG00000280339"							
"TRPM7"							
"ZNF316"							
"MYL9"							
"CELSR1"							
"TRABD2A"							
"CBX2"							
"SCP2"							
"EEF2K"							
"SNORD101"							
"ENSG00000278987"							
"HLA-DOA"							
"TOM1L2"							
"NOP2"							
"MTIF2"							
"RN7SKP292"							
"RPL10P9"							
"ZNF684"							
"COQ9"							
"ENSG00000276337"							
"ENSG00000270574"							
"BICDL2"							
"SHE"							
"ENSG00000285517"							
"DERL2"							
"SUMO4"							
"APOL2"							
"CHP1"							
"GAS5-AS1"							
"ENSG00000234584"							
"ZNF101"							
"SCARNA7"							
"CLDN3"							
"MT2A"							
"ARHGAP10"							
"ITPR2"							
"IBTK"							
"AATK"							
"CHMP6"							
"ENSG00000261786"							
"PSIP1"							
"F2RL2"							
"WFDC1"							
"TANK"							
"UNC45A"							
"AAMP"							
"B3GALT4"							
"ENSG00000278600"							
"SLC35D2"							
"TMEM33"							
"SFTPD"							
"DTHD1"							
"SWAP70"							
"ENSG00000280376"							
"AXL"							
"MRPL23"							
"TAGLN2"							
"CHST12"							
"GPHN"							
"COX5A"							
"BCL6"							
"SLC6A13"							
"TST"							
"SFXN5"							
"ZBTB7C"							
"SERPINI1"							
"TSPY26P"							
"CSRP1-AS1"							
"NUDT13"							
"COLEC10"							
"ENSG00000273284"							
"OSCP1"							
"TMEM115"							
"LRIF1"							
"ACADVL"							
"ARHGEF10L"							
"CARD8-AS1"							
"LINC01750"							
"PDZD8"							
"PCDHB11"							
"PRKAB2"							
"CYTH3"							
"H2AC20"							
"CCDC61"							
"ENSG00000256325"							
"TMEM243"							
"RN7SL381P"							
"NOS1AP"							
"PCBP2P2"							
"NR1H3"							
"CASP4"							
"MUC20P1"							
"LINC01001"							
"TMEM230"							
"DDX54"							
"DCDC2"							
"PKIG"							
"CCNT2"							
"ENSG00000236095"							
"RPL7P49"							
"RETSAT"							
"CNTN1"							
"FUZ"							
"PCTP"							
"SOGA1"							
"COL8A2"							
"DCTPP1"							
"LRRC45"							
"ACADL"							
"WDR83"							
"CNOT2"							
"ADGRG2"							
"RN7SKP78"							
"SNORA54"							
"ENSG00000260144"							
"UCHL3"							
"CBS"							
"PRKCZ"							
"DAAM2-AS1"							
"ABHD3"							
"ZFP91"							
"ARMC2"							
"ABHD2"							
"ENSG00000225026"							
"ENSG00000286406"							
"NPTX2"							
"ADAM20"							
"RN7SKP296"							
"ENSG00000277246"							
"MPND"							
"UGP2"							
"IL1RAP"							
"RBMXP2"							
"GUF1"							
"ZNF66"							
"CROCCP3"							
"AIG1"							
"ATAT1"							
"NDUFB7"							
"AKR1C3"							
"CYBRD1"							
"NUDT18"							
"NME5"							
"CABYR"							
"CCDC81"							
"SNORA80A"							
"LINC02883"							
"ZNF483"							
"ENSG00000262140"							
"NUGGC"							
"INTU"							
"ENSG00000267838"							
"SFRP1"							
"TRIOBP"							
"DIPK1A"							
"TMEM200C"							
"MRPL46"							
"HHIP"							
"ORAI3"							
"GPR89A"							
"DNAH7"							
"CACHD1"							
"ENSG00000280332"							
"ENSG00000282936"							
"GUSBP18"							
"CHAF1A"							
"KCNMA1"							
"CFL1P5"							
"SMPD1"							
"CLSTN1"							
"ARMC7"							
"LONP2"							
"PRDM5"							
"RAB23"							
"CASKIN2"							
"CENPBD2P"							
"SLC27A3"							
"SANBR"							
"PPP1R3B"							
"BEX5"							
"SERPINE2"							
"ETV6"							
"SNHG4"							
"ENSG00000282221"							
"RAB26"							
"ZNF282"							
"TMOD1"							
"SDSL"							
"C5orf22"							
"ZBTB42"							
"ENSG00000237927"							
"CDR2L"							
"PROS1"							
"ATP5F1B"							
"RPS3P2"							
"SRSF12"							
"ENSG00000260196"							
"RNF103"							
"C17orf100"							
"LINC00528"							
"ENSG00000261072"							
"TMEM86B"							
"ACOX2"							
"HBEGF"							
"LINC01409"							
"MTCO1P11"							
"EHD2"							
"NXN"							
"TRAPPC6A"							
"USP35"							
"DPCD"							
"ENSG00000232546"							
"ENSG00000258539"							
"RBPMS-AS1"							
"CHMP4BP1"							
"TSNARE1"							
"TREM1"							
"ADRA1A"							
"C1orf226"							
"PPT2"							
"ZNF28"							
"ENSG00000250771"							
"CLGN"							
"NANOGP5"							
"G0S2"							
"SPSB2"							
"WNT3"							
"LCN12"							
"ZNRF2P1"							
"NUDT6"							
"MTFR2"							
"CASTOR2"							
"CACNA1C-IT3"							
"CHAC2"							
"STMN1"							
"CLCN5"							
"S100A10"							
"RRS1"							
"RN7SL735P"							
"TJP2"							
"IDH2"							
"SEMA6D"							
"ICAM2"							
"RNF157"							
"OSGIN1"							
"ZFP69B"							
"IL22RA1"							
"SKI"							
"GTF2IP5"							
"NPEPPSP1"							
"ENSG00000226149"							
"PTCD2"							
"KRTCAP3"							
"CCNB1IP1"							
"CEP131"							
"DNASE1L3"							
"CDO1"							
"RPS27AP12"							
"GCSH"							
"CCDC15"							
"VAMP5"							
"ENSG00000248840"							
"C3orf86"							
"LDHD"							
"NDNF"							
"NAV2-AS6"							
"PLPP6"							
"CDKL5"							
"EFNB1"							
"BPHL"							
"TAS2R5"							
"PRAG1"							
"TMEM182"							
"PIWIL2"							
"SPTLC1P1"							
"MT1A"							
"C8orf44"							
"ANKHD1"							
"COX8A"							
"MVK"							
"ANKRD10-IT1"							
"ENSG00000285791"							
"EPAS1"							
"HSPA8P15"							
"C1orf116"							
"MT-ND4"							
"TGFB2"							
"TNRC18P1"							
"LRP2BP-AS1"							
"SLC25A25-AS1"							
"BNIPL"							
"BCKDK"							
"ENSG00000234624"							
"IGFBP2"							
"RWDD4"							
"GPR89B"							
"STARD9"							
"CCN2"							
"MAMDC4"							
"CCDC168"							
"AGL"							
"ZNF212"							
"ENSG00000267682"							
"ENSG00000257298"							
"FGL2"							
"ENSG00000225339"							
"ENSG00000286977"							
"TAB1"							
"RGS2"							
"DUSP5-DT"							
"RABL6"							
"NDUFB4"							
"ENO3"							
"SCAF1"							
"FAM151B-DT"							
"PKD2"							
"RPL7AP45"							
"TAOK2"							
"MICAL3"							
"DOHH"							
"ENSG00000269968"							
"CEP68"							
"CD9"							
"HDAC11"							
"AK8"							
"TAS2R64P"							
"BCKDHB"							
"VPS37A"							
"RNU1-16P"							
"DCUN1D4"							
"USPL1"							
"PRRG1"							
"PDCD2L"							
"CD2BP2"							
"RPL19"							
"MGST2"							
"TACSTD2"							
"HLA-DQA1"							
"OSBP"							
"TCEAL3"							
"ASCC1"							
"RBBP4P1"							
"SMIM30"							
"ARHGAP26-IT1"							
"INCENP"							
"HDC"							
"MLPH"							
"NELFE"							
"ENSG00000286813"							
"MIEF2"							
"LARGE2"							
"PELP1"							
"VPS26BP1"							
"SLC5A6"							
"ENSG00000280054"							
"ZNF605"							
"GRTP1"							
"ENSG00000288612"							
"ENSG00000279819"							
"C6orf136"							
"KIAA1549"							
"TNFAIP8"							
"ECHDC2"							
"USP30"							
"INAFM1"							
"NTN4"							
"ENSG00000230454"							
"HERC3"							
"IGF1R"							
"MIR4435-2HG"							
"PLCH1"							
"LMNB2"							
"DNAH6"							
"ZNF362"							
"ZIK1"							
"STRCP1"							
"ENSG00000234589"							
"SIMC1"							
"DAP"							
"ZNF775"							
"ROBO4"							
"PCCB"							
"PAPPA"							
"HIP1"							
"APBB1IP"							
"ENSG00000255067"							
"PKP3"							
"DUSP1"							
"PTPN13"							
"RPS6KA4"							
"PMEPA1"							
"RESF1"							
"C5orf15"							
"SCCPDH"							
"KRI1"							
"RPL8"							
"DSTN"							
"MIR2467"							
"RTL6"							
"ARHGEF2-AS2"							
"GRIP2"							
"RN7SL517P"							
"CERS6"							
"SLC2A5"							
"ID2"							
"IQSEC3"							
"RHOQ"							
"CUEDC1"							
"ORMDL1"							
"RBM24"							
"POPDC2"							
"HIGD1A"							
"MAPK10"							
"HNRNPA1L3"							
"AIF1"							
"JCAD"							
"DMXL2"							
"UGCG"							
"LINC02197"							
"FASTKD1"							
"CTNNBIP1"							
"SNORD3B-1"							
"APOO"							
"SYF2"							
"KCNB1"							
"IGHA1"							
"ENSG00000230896"							
"ENSG00000227681"							
"RRS1-DT"							
"RPL18"							
"EPB41L1"							
"GIPC1"							
"PCDHB15"							
"FDPS"							
"SLC9A3R2"							
"RRP9"							
"DECR1"							
"ZBTB40-IT1"							
"ENSG00000261026"							
"DACH1"							
"GHR"							
"ENSG00000278863"							
"REXO5"							
"SMOX"							
"RPL26"							
"GALNT6"							
"UQCRC2"							
"PRKG1"							
"OLFML3"							
"ECM1"							
"CES1"							
"MAP9"							
"SNORD13E"							
"LHFPL6"							
"SLC25A42"							
"MTCO2P11"							
"TEKT5"							
"ENSG00000278876"							
"STK17B"							
"RPS2P55"							
"NACAD"							
"NAT14"							
"ACTG1P20"							
"LINC02916"							
"TFEB"							
"NFATC1"							
"TRAM2"							
"PHF2"							
"POR"							
"FAM229B"							
"CHKA"							
"NTHL1"							
"APMAP"							
"ALKBH4"							
"ENSG00000269924"							
"PDLIM5"							
"CYP39A1"							
"LOX"							
"PGAM1P7"							
"VDAC1P1"							
"ENSG00000283674"							
"WAPL-DT"							
"YPEL1"							
"ZNF727"							
"GTF3A"							
"ENSG00000264853"							
"MFAP3L"							
"ENSG00000267096"							
"DCAF4L1"							
"ENSG00000227304"							
"LLGL2"							
"MCM3AP-AS1"							
"TIMM23"							
"NRARP"							
"STK32C"							
"FAM131A"							
"DHRS13"							
"ITGA1"							
"DUSP3"							
"RAB25"							
"ENSG00000233967"							
"HUNK"							
"MT1M"							
"CIRBP"							
"RPS15AP6"							
"FAM43A"							
"FLT4"							
"GIMAP6"							
"CRADD"							
"DUS3L"							
"ENSG00000236525"							
"PCDHA4"							
"MT1E"							
"H1-10"							
"ENSG00000257663"							
"TMEM54"							
"HSPA4L"							
"IGHV5-51"							
"SC5D"							
"TMEM30B"							
"FADS2"							
"EFCAB6"							
"INAVA"							
"DUSP18"							
"RN7SL398P"							
"CAPG"							
"SLC5A3"							
"LINC00997"							
"FMO4"							
"RPL4P5"							
"SRL"							
"EFNB2"							
"ENSG00000260971"							
"ULK2"							
"HYKK"							
"ACSS1"							
"BANK1"							
"ENSG00000273691"							
"RPS15P4"							
"SYT17"							
"HIBCH"							
"C1orf220"							
"ENSG00000255165"							
"USP11"							
"GATA2-AS1"							
"TMEM38B"							
"LRRC34"							
"NPM1P37"							
"ACSS3"							
"ENSG00000232626"							
"ENSG00000261659"							
"EEF1AKMT3"							
"GRHPR"							
"ENSG00000256341"							
"HEG1"							
"ECHDC3"							
"SCARA5"							
"ENSG00000285679"							
"LRRC56"							
"ZC3H18"							
"LPCAT1"							
"ZDHHC9"							
"ARHGAP24"							
"ABCC6P2"							
"VWA2"							
"TPGS1"							
"BACH1-IT2"							
"RPS14P4"							
"TMEM120A"							
"LCAT"							
"ENSG00000273270"							
"ENSG00000235445"							
"CNKSR1"							
"ST14"							
"TOMM70"							
"ENSG00000287306"							
"LYPLA1"							
